t	A01:sig	A02:1sig'	A03:1sum	A04:1diff	A05:1ax1	A06:1ax2	A07:1ax3	A08:1ax4	A09:1ax5	D10:on	D11:ax
0.808594	0.021059	0	0	0	0	0	0	0	0	0	0
0.810547	0.0248573	0	0	0	0	0	0	0	0	0	0
0.8125	0.0278923	0	0	0	0	0	0	0	0	0	0
0.814453	0.0300465	0	0	0	0	0	0	0	0	0	0
0.816406	0.031233	0	0	0	0	0	0	0	0	0	0
0.818359	0.0313997	0	0	0	0	0	0	0	0	0	0
0.820312	0.0305331	0	0	0	0	0	0	0	0	0	0
0.822266	0.0286609	0	0	0	0	0	0	0	0	0	0
0.824219	0.0258518	0	0	0	0	0	0	0	0	0	0
0.826172	0.0222151	0	0	0	0	0	0	0	0	0	0
0.828125	0.0178948	0	0	0	0	0	0	0	0	0	0
0.830078	0.0130647	0	0	0	0	0	0	0	0	0	0
0.832031	0.00791952	0	0	0	0	0	0	0	0	0	0
0.833984	0.00266573	0	0	0	0	0	0	0	0	0	0
0.835938	-0.0024872	0	0	0	0	0	0	0	0	0	0
0.837891	-0.00733488	0	0	0	0	0	0	0	0	0	0
0.839844	-0.0116859	0	0	0	0	0	0	0	0	0	0
